Äê|variable|value
0|score|65
1|score|98
2|score|85
3|score|83
4|score|115
5|score|98
6|score|69
7|score|106
8|score|102
9|score|95
10|score|91
11|score|58
12|score|84
13|score|78
14|score|102
15|score|110
16|score|102
17|score|99
18|score|105
19|score|101
20|score|102
21|score|115
22|score|100
23|score|87
24|score|99
25|score|96
26|score|72
27|score|78
28|score|77
29|score|98
30|score|69
31|score|130
32|score|109
33|score|106
34|score|92
35|score|100
36|score|107
37|score|86
38|score|90
39|score|110
40|score|107
41|score|113
42|score|65
43|score|102
44|score|103
45|score|111
46|score|42
47|score|100
48|score|67
49|score|92
50|score|100
51|score|110
52|score|56
53|score|107
54|score|97
55|score|56
56|score|95
57|score|78
58|score|76
59|score|86
60|score|79
61|score|81
62|score|79
63|score|79
64|score|56
65|score|52
66|score|63
67|score|80
68|score|87
69|score|88
70|score|92
71|score|100
72|score|94
73|score|117
74|score|102
75|score|107
76|score|99
77|score|73
78|score|56
79|score|78
80|score|94
81|score|110
82|score|109
83|score|86
84|score|92
85|score|91
86|score|123
87|score|102
88|score|105
89|score|114
90|score|96
91|score|66
92|score|104
93|score|108
94|score|84
95|score|83
96|score|83
97|score|92
98|score|109
99|score|95
100|score|93
101|score|114
102|score|106
103|score|87
104|score|65
105|score|95
106|score|61
107|score|73
108|score|112
109|score|113
110|score|49
111|score|105
112|score|122
113|score|96
114|score|97
115|score|94
116|score|117
117|score|136
118|score|85
119|score|116
120|score|106
121|score|99
122|score|94
123|score|89
124|score|119
125|score|112
126|score|104
127|score|92
128|score|86
129|score|69
130|score|45
131|score|57
132|score|94
133|score|104
134|score|89
135|score|144
136|score|52
137|score|102
138|score|106
139|score|98
140|score|97
141|score|94
142|score|111
143|score|100
144|score|105
145|score|90
146|score|98
147|score|121
148|score|106
149|score|121
150|score|102
151|score|64
152|score|99
153|score|81
154|score|69
155|score|84
156|score|104
157|score|104
158|score|107
159|score|88
160|score|67
161|score|103
162|score|94
163|score|109
164|score|94
165|score|98
166|score|102
167|score|104
168|score|114
169|score|87
170|score|102
171|score|77
172|score|109
173|score|94
174|score|93
175|score|86
176|score|97
177|score|97
178|score|88
179|score|103
180|score|87
181|score|87
182|score|90
183|score|65
184|score|111
185|score|109
186|score|87
187|score|58
188|score|87
189|score|113
190|score|64
191|score|78
192|score|97
193|score|95
194|score|75
195|score|91
196|score|99
197|score|108
198|score|95
199|score|100
200|score|85
201|score|97
202|score|108
203|score|90
204|score|100
205|score|82
206|score|94
207|score|95
208|score|119
209|score|98
210|score|100
211|score|112
212|score|136
213|score|122
214|score|126
215|score|116
216|score|98
217|score|94
218|score|93
219|score|90
220|score|70
221|score|110
222|score|104
223|score|83
224|score|99
225|score|81
226|score|104
227|score|109
228|score|113
229|score|95
230|score|74
231|score|81
232|score|89
233|score|93
234|score|102
235|score|95
236|score|85
237|score|97
238|score|92
239|score|78
240|score|104
241|score|120
242|score|83
243|score|105
244|score|68
245|score|104
246|score|80
247|score|120
248|score|94
249|score|81
250|score|101
251|score|61
252|score|68
253|score|110
254|score|89
255|score|98
256|score|113
257|score|50
258|score|57
259|score|86
260|score|83
261|score|106
262|score|106
263|score|104
264|score|78
265|score|99
266|score|91
267|score|40
268|score|42
269|score|69
270|score|84
271|score|58
272|score|42
273|score|72
274|score|80
275|score|58
276|score|52
277|score|101
278|score|63
279|score|73
280|score|68
281|score|60
282|score|69
283|score|73
284|score|75
285|score|20
286|score|56
287|score|49
288|score|71
289|score|46
290|score|54
291|score|54
292|score|44
293|score|74
294|score|58
295|score|46
296|score|76
297|score|43
298|score|60
299|score|58
300|score|89
301|score|43
302|score|94
303|score|88
304|score|79
305|score|87
306|score|46
307|score|95
308|score|92
309|score|42
310|score|62
311|score|52
312|score|101
313|score|97
314|score|85
315|score|98
316|score|94
317|score|90
318|score|72
319|score|92
320|score|75
321|score|83
322|score|64
323|score|101
324|score|82
325|score|77
326|score|101
327|score|50
328|score|90
329|score|103
330|score|96
331|score|50
332|score|47
333|score|73
334|score|62
335|score|77
336|score|64
337|score|52
338|score|61
339|score|86
340|score|41
341|score|83
342|score|64
343|score|83
344|score|116
345|score|100
346|score|42
347|score|74
348|score|76
349|score|92
350|score|98
351|score|96
352|score|67
353|score|84
354|score|111
355|score|41
356|score|68
357|score|107
358|score|82
359|score|89
360|score|83
361|score|73
362|score|74
363|score|94
364|score|58
365|score|76
366|score|61
367|score|38
368|score|100
369|score|84
370|score|99
371|score|86
372|score|94
373|score|90
374|score|50
375|score|112
376|score|58
377|score|87
378|score|76
379|score|68
380|score|110
381|score|88
382|score|87
383|score|54
384|score|49
385|score|56
386|score|79
387|score|82
388|score|80
389|score|60
390|score|102
391|score|87
392|score|42
393|score|119
394|score|84
395|score|86
396|score|113
397|score|72
398|score|104
399|score|94
400|score|78
401|score|80
402|score|67
403|score|104
404|score|96
405|score|65
406|score|64
407|score|95
408|score|56
409|score|75
410|score|91
411|score|106
412|score|76
413|score|90
414|score|108
415|score|86
416|score|85
417|score|104
418|score|87
419|score|41
420|score|106
421|score|76
422|score|100
423|score|89
424|score|42
425|score|102
426|score|104
427|score|59
428|score|93
429|score|94
430|score|76
431|score|50
432|score|88
433|score|70
434|h|1
435|h|1
436|h|1
437|h|1
438|h|1
439|h|0
440|h|1
441|h|1
442|h|1
443|h|1
444|h|1
445|h|1
446|h|1
447|h|1
448|h|0
449|h|1
450|h|1
451|h|1
452|h|1
453|h|0
454|h|1
455|h|1
456|h|1
457|h|1
458|h|0
459|h|1
460|h|1
461|h|1
462|h|1
463|h|1
464|h|1
465|h|1
466|h|1
467|h|0
468|h|1
469|h|1
470|h|1
471|h|1
472|h|1
473|h|1
474|h|1
475|h|1
476|h|1
477|h|1
478|h|0
479|h|1
480|h|1
481|h|1
482|h|1
483|h|1
484|h|1
485|h|1
486|h|1
487|h|1
488|h|1
489|h|0
490|h|1
491|h|0
492|h|0
493|h|1
494|h|1
495|h|1
496|h|0
497|h|1
498|h|1
499|h|1
500|h|1
501|h|1
502|h|1
503|h|1
504|h|1
505|h|0
506|h|0
507|h|1
508|h|1
509|h|1
510|h|1
511|h|0
512|h|1
513|h|0
514|h|0
515|h|1
516|h|1
517|h|1
518|h|1
519|h|1
520|h|1
521|h|1
522|h|1
523|h|1
524|h|1
525|h|1
526|h|1
527|h|1
528|h|1
529|h|0
530|h|1
531|h|0
532|h|0
533|h|0
534|h|1
535|h|1
536|h|1
537|h|1
538|h|1
539|h|1
540|h|1
541|h|1
542|h|1
543|h|1
544|h|0
545|h|1
546|h|1
547|h|1
548|h|1
549|h|1
550|h|1
551|h|1
552|h|0
553|h|1
554|h|1
555|h|1
